identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
PGAM1~P18669,1.2120967597768058,12.637606996664154,3.5928215883389782,0.0010897912184548383,0.007359928017592886,-1.1604706922565828,PGAM1,PGAM1
RHOA~A0A7I2V3G1,3.69573754531256,8.778818027188885,3.5589102104862747,0.0011950035641274902,0.008014044881106736,-1.2475568760767706,RHOA,RHOA
TALDO1~P37837,1.3596129936341175,12.638681033725863,3.5467969046241703,0.0012349163766572529,0.008224200036210456,-1.2785812901135456,TALDO1,TALDO1
CRISP3~J3KPA1,-0.5365127960269422,15.751631898722822,-3.5378134314176313,0.0012653457751483862,0.00836873516115381,-1.3015609645785586,CRISP3,CRISP3
ITIH4~B7ZKJ8,0.8905695614525939,13.068811325362189,3.5290314385470256,0.0012957925283363441,0.008511404347085987,-1.3240014890664753,ITIH4,ITIH4
FLNA~P21333,0.9575490704103071,12.848028637224251,3.520533783315418,0.0013259266744435597,0.008650093066607984,-1.3456929406340778,FLNA,FLNA
PEPD~A0A494C165,-0.6047480518963297,14.330914714183857,-3.4980069671350953,0.0014091225460615415,0.009130733254547422,-1.4030876256477622,PEPD,PEPD
ITIH1~P19827,-0.48593502234317754,20.634965905296003,-3.493802839470097,0.0014251974983517804,0.009172915442411795,-1.4137815243460672,ITIH1,ITIH1
CAPZA1~P52907,1.9872733643087077,10.571421261293725,3.4789354769674516,0.001483476195794069,0.009484357811776747,-1.451554445815007,CAPZA1,CAPZA1
ENO1~P06733,1.3874876839788968,13.443572497002126,3.461140775094602,0.0015562552234674042,0.0098672451197423,-1.496672334825642,ENO1,ENO1
PPP1CA~A0A7I2V4F7,2.8042474172874634,10.693865053182439,3.4593082014108494,0.001563942917831939,0.0098672451197423,-1.5013130007309687,PPP1CA,PPP1CA
PSMA4~H0YKT8,2.5090595700915443,10.68823190129019,3.4496248015921562,0.0016051766769828088,0.010061205445924926,-1.5258164863789663,PSMA4,PSMA4
