symbol,t_stat
APP,0.5242470508762292
HBA2,0.5221863691854854
GP1BB,0.5198595033438569
PPM1A,0.5184685771567745
MMRN2,0.5174293347138258
BID,0.5106643303877415
IGHG3,0.5089762762112345
SULT1A4,0.5035170281053837
MARCKS,0.495834157741796
ERAP1,0.48423392233745477
ATP2A1,0.4782216631695443
STXBP2,0.4760184606382603
GMFG,0.463238284807212
HLA-A,0.46138903787859087
SERPINB1,0.4596696881165501
LXN,0.45540675199172137
EPB42,0.44253065944733794
BIN2,0.4392605132489168
SERPINB10,0.4362005260450628
HK3,0.43499365374141735
PZP,0.4297873788713375
PHB,0.42448683104248314
AHSG,0.41682274263664204
SLC2A1,0.4145084359705844
ADSS2,0.3973099476124101
CPB2,0.3945204082699776
ENG,0.3804111522022445
KRT13,0.37098810175492497
CPNE3,0.3584880069258786
PLS1,0.35064120078937394
PRG2,0.34923980841185065
EEF1D,0.344910790187227
ANK1,0.34155819485154815
UBE2K,0.3391815900719089
RPS3,0.33778284692260724
NID1,0.3349863864766131
IGKV1D-8,0.32890698970635796
TUFM,0.3274487621126189
TGOLN2,0.3017926257841788
ICAM1,0.2968626253123411
IGF2,0.2900566871967484
SOD3,0.2876891185927205
S100A4,0.27727589836332583
DEFA1B,0.27365381426563523
MACROH2A1,0.27114190878764083
GP1BA,0.2619411469182968
IGHV7-4-1,0.25458490093617847
CLC,0.24434111942425504
RPL3,0.2438995952404464
FGG,0.24222067227226965
CSTB,0.2385399577650266
AQR,0.21173062540348542
RAN,0.21124695223012982
PADI4,0.21022382924023555
PHPT1,0.20188455250547735
S100A6,0.20154613217555364
VASP,0.19915999809871957
NCF2,0.19445883865362756
EEF1B2,0.19120059764295078
SH3BGRL2,0.18788012077595878
IGLV4-60,0.1859162072011942
CA1,0.17941079141722135
IGHV7-81,0.17304313581711306
MAPRE2,0.16582331258337107
CD248,0.16032102820173108
CA3,0.1590312925816916
RAC2,0.1575358737110183
PI16,0.15078373208228513
HBB,0.14766508903933387
MMP2,0.1433322144523834
HNRNPU,0.13137542010052314
IL1RAP,0.12261346049217971
LYPD3,0.11990400443570479
SPTLC2,0.11365763386716714
IGHV5-10-1,0.10653533771889988
XPO1,0.10604446327938409
RNH1,0.09712380651015884
HPD,0.08602572783061997
ATP5F1D,0.07967021861214833
CPPED1,0.07834427284330382
NUDT5,0.07097734994309715
IGHV2-26,0.0699161630748402
OGN,0.06485481301918598
ANXA6,0.06484521553257265
DPYSL2,0.05274498343961359
B3GNT2,0.04630616959846515
IGKV2-29,0.03830845604892616
LMNA,0.035463336102700485
MYL1,0.0332334416597058
ANXA1,0.033103958303861696
TTN,0.03083760583717935
GHR,0.028397121529677598
PLA2G7,0.025527937810226078
RPL14,0.019314210972870352
GLIPR2,0.017178430434966287
S100A9,0.01072939891233687
CFAP61,-0.0024923674359965294
CALML5,-0.0028875690035042247
SERPINA7,-0.004953620956392723
AHSP,-0.008843588882464448
CYB5A,-0.00958749241454301
RPL18A,-0.009724559110730002
AK2,-0.021349594829424553
MASP2,-0.02182780983466413
ERAP2,-0.021835126071880526
CNTRL,-0.022484226529641778
C8G,-0.025839562672366215
KRT2,-0.03574058650094761
IGHV3-23,-0.035842385715487604
SLC4A1,-0.04182574963166099
RPS19,-0.04913547737676888
MPO,-0.049776505344681504
CKM,-0.05854338562563313
LCP1,-0.06598202160885208
ATIC,-0.07482918067758901
OIT3,-0.07567098506325161
SHBG,-0.07575157353136143
GNAQ,-0.075789128585487045
PROC,-0.07777881961587657
LILRA3,-0.07793820076461816
NECTIN1,-0.08816527550182843
HNRNPM,-0.09839650573960192
APMAP,-0.1157794681190363
IGLV3-16,-0.11689389284267024
USP14,-0.12494384650408447
AGAP3,-0.13689274484052483
IGLV3-21,-0.14199926959785605
RPL21,-0.15284097172694194
CETP,-0.15300979238735407
APCS,-0.15929646419739912
IGLV5-45,-0.16331602074930493
ALDOB,-0.16405108507145197
SEMA4B,-0.16431972309248066
IGKV6-21,-0.16576684818532486
HLA-B,-0.18086542411105555
BPGM,-0.19240419329074296
CLU,-0.2087413652081532
IGLV3-10,-0.21753092961913315
ENO2,-0.22354805989716967
LMAN1,-0.2501134823131158
FSCN1,-0.25876673411560347
CALD1,-0.25881680349612124
FCGR3A,-0.26252611274587984
